7 360 6772
0 0 16 1
0 1 17 1
0 2 18 1
0 3 19 1
0 4 20 1
0 5 21 1
0 6 22 1
0 7 23 1
0 8 24 1
0 9 25 1
0 10 26 1
0 11 27 1
0 12 28 1
0 13 29 1
0 14 30 1
0 15 31 1
0 16 32 1
0 17 33 1
0 18 34 1
0 19 35 1
0 20 36 1
0 21 37 1
0 22 38 1
0 23 39 1
0 24 40 1
0 25 41 1
0 26 42 1
0 27 43 1
0 28 44 1
0 29 45 1
0 30 46 1
0 31 47 1
0 32 48 1
0 33 49 1
0 34 50 1
0 35 51 1
0 36 52 1
0 37 53 1
0 38 54 1
0 39 55 1
0 40 56 1
0 41 57 1
0 42 58 1
0 43 59 1
0 44 60 1
0 45 61 1
0 46 62 1
0 47 63 1
0 48 64 1
0 49 65 1
0 50 66 1
0 51 67 1
0 52 68 1
0 53 69 1
0 54 70 1
0 55 71 1
0 56 72 1
0 57 73 1
0 58 74 1
0 59 75 1
0 60 76 1
0 61 77 1
0 62 78 1
0 63 79 1
0 64 80 1
0 65 81 1
0 66 82 1
0 67 83 1
0 68 84 1
0 69 85 1
0 70 86 1
0 71 87 1
0 72 88 1
0 73 89 1
0 74 90 1
0 75 91 1
0 76 92 1
0 77 93 1
0 78 94 1
0 79 95 1
0 80 96 1
0 81 97 1
0 82 98 1
0 83 99 1
0 84 100 1
0 85 101 1
0 86 102 1
0 87 103 1
0 88 104 1
0 89 105 1
0 90 106 1
0 91 107 1
0 92 108 1
0 93 109 1
0 94 110 1
0 95 111 1
0 96 112 1
0 97 113 1
0 98 114 1
0 99 115 1
0 100 116 1
0 101 117 1
0 102 118 1
0 103 119 1
0 104 120 1
0 105 121 1
0 106 122 1
0 107 123 1
0 108 124 1
0 109 125 1
0 110 126 1
0 111 127 1
0 112 128 1
0 113 129 1
0 114 130 1
0 115 131 1
0 116 132 1
0 117 133 1
0 118 134 1
0 119 135 1
0 120 136 1
0 121 137 1
0 122 138 1
0 123 139 1
0 124 140 1
0 125 141 1
0 126 142 1
0 127 143 1
0 128 144 1
0 129 145 1
0 130 146 1
0 131 147 1
0 132 148 1
0 133 149 1
0 134 150 1
0 135 151 1
0 136 152 1
0 137 153 1
0 138 154 1
0 139 155 1
0 140 156 1
0 141 157 1
0 142 158 1
0 143 159 1
0 144 160 1
0 145 161 1
0 146 162 1
0 147 163 1
0 148 164 1
0 149 165 1
0 150 166 1
0 151 167 1
0 152 168 1
0 153 169 1
0 154 170 1
0 155 171 1
0 156 172 1
0 157 173 1
0 158 174 1
0 159 175 1
0 160 176 1
0 161 177 1
0 162 178 1
0 163 179 1
0 164 180 1
0 165 181 1
0 166 182 1
0 167 183 1
0 168 184 1
0 169 185 1
0 170 186 1
0 171 187 1
0 172 188 1
0 173 189 1
0 174 190 1
0 175 191 1
0 176 192 1
0 177 193 1
0 178 194 1
0 179 195 1
0 180 196 1
0 181 197 1
0 182 198 1
0 183 199 1
0 184 200 1
0 185 201 1
0 186 202 1
0 187 203 1
0 188 204 1
0 189 205 1
0 190 206 1
0 191 207 1
0 192 208 1
0 193 209 1
0 194 210 1
0 195 211 1
0 196 212 1
0 197 213 1
0 198 214 1
0 199 215 1
0 200 216 1
0 201 217 1
0 202 218 1
0 203 219 1
0 204 220 1
0 205 221 1
0 206 222 1
0 207 223 1
0 208 224 1
0 209 225 1
0 210 226 1
0 211 227 1
0 212 228 1
0 213 229 1
0 214 230 1
0 215 231 1
0 216 232 1
0 217 233 1
0 218 234 1
0 219 235 1
0 220 236 1
0 221 237 1
0 222 238 1
0 223 239 1
0 224 240 1
0 225 241 1
0 226 242 1
0 227 243 1
0 228 244 1
0 229 245 1
0 230 246 1
0 231 247 1
0 232 248 1
0 233 249 1
0 234 250 1
0 235 251 1
0 236 252 1
0 237 253 1
0 238 254 1
0 239 255 1
0 240 256 1
0 241 257 1
0 242 258 1
0 243 259 1
0 244 260 1
0 245 261 1
0 246 262 1
0 247 263 1
0 248 264 1
0 249 265 1
0 250 266 1
0 251 267 1
0 252 268 1
0 253 269 1
0 254 270 1
0 255 271 1
0 256 272 1
0 257 273 1
0 258 274 1
0 259 275 1
0 260 276 1
0 261 277 1
0 262 278 1
0 263 279 1
0 264 280 1
0 265 281 1
0 266 282 1
0 267 283 1
0 268 284 1
0 269 285 1
0 270 286 1
0 271 287 1
0 272 288 1
0 273 289 1
0 274 290 1
0 275 291 1
0 276 264 1
0 276 292 1
0 277 265 1
0 277 293 1
0 278 266 1
0 278 294 1
0 279 267 1
0 279 295 1
0 280 268 1
0 280 296 1
0 281 269 1
0 281 297 1
0 282 270 1
0 282 298 1
0 283 271 1
0 283 299 1
0 284 272 1
0 284 300 1
0 285 273 1
0 285 301 1
0 286 274 1
0 286 302 1
0 287 275 1
0 287 303 1
0 288 276 1
0 288 304 1
0 289 277 1
0 289 305 1
0 290 278 1
0 290 306 1
0 291 279 1
0 291 307 1
0 292 280 1
0 292 308 1
0 293 281 1
0 293 309 1
0 294 282 1
0 294 310 1
0 295 283 1
0 295 311 1
0 296 284 1
0 296 312 1
0 297 285 1
0 297 313 1
0 298 286 1
0 298 314 1
0 299 287 1
0 299 315 1
0 300 288 1
0 300 316 1
0 301 289 1
0 301 317 1
0 302 290 1
0 302 318 1
0 303 291 1
0 303 319 1
0 304 292 1
0 304 320 1
0 305 293 1
0 305 321 1
0 306 294 1
0 306 322 1
0 307 295 1
0 307 323 1
0 308 296 1
0 308 324 1
0 309 297 1
0 309 325 1
0 310 298 1
0 310 326 1
0 311 299 1
0 311 327 1
0 312 300 1
0 312 328 1
0 313 301 1
0 313 329 1
0 314 302 1
0 314 330 1
0 315 303 1
0 315 331 1
0 316 304 1
0 316 332 1
0 317 305 1
0 317 333 1
0 318 306 1
0 318 334 1
0 319 307 1
0 319 335 1
0 320 308 1
0 320 336 1
